ID,UTTERANCES,IOB SLOT TAGS
91,who was the lead actor in hitch,O O O O O O B_movie
92,who starred in dark knight rising,O O O B_movie I_movie I_movie
93,who played nick fury in the avengers,O O B_char I_char O B_movie I_movie
94,who was the lead actor in the avengers,O O O O O O B_movie I_movie
95,what was the cast of black swan,O O O O O B_movie I_movie
96,who acted in black swan,O O O B_movie I_movie
97,who was in black swan,O O O B_movie I_movie
98,who was the lead in black swan,O O O O O B_movie I_movie
99,actors in star wars four,O O B_movie I_movie I_movie
100,what was the actor who played esme in twilight,O O O O O O B_char O B_movie
101,who played esme in twilight,O O B_char O B_movie
102,who starred in the parent trap,O O O B_movie I_movie I_movie
103,cast and crew for hitch,O O O O B_movie
104,cast and crew of hitch,O O O O B_movie
105,cast hitch,O B_movie
106,hitch crew,B_movie O
107,list cast hitch,O O B_movie
108,show me hitch's cast,O O B_movie O O
109,show the cast of hitch,O O O O B_movie
110,what actors appeared in the movie hitch,O O O O O O B_movie
111,what actors played in the movies hitch,O O O O O O B_movie
112,what was the cast of hitch,O O O O O B_movie
113,who starred in hitch,O O O B_movie
114,who starred in the movie hitch,O O O O O B_movie
115,who stars in hitch,O O O B_movie
116,who was in hitch,O O O B_movie
117,who was in the movie hitch,O O O O O B_movie
118,who was the star in hitch,O O O O O B_movie
119,voice actor for homer simpson,O O O B_char I_char
120,who is in the movie two can play that game,O O O O O B_movie I_movie I_movie I_movie I_movie
121,actress from gone with the wind,O O B_movie I_movie I_movie I_movie
122,who are the lead actors in this movie,O O O O O O O O
123,show me information on the cast and crew of pitchperfect,O O O O O O O O O B_movie
124,actors in house at the end of the street,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
125,can i see the cast and crew for house at the end of the street,O O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
126,cast and crew for house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
127,cast and crew for the movie house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
128,who stars on the house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
129,who is in movie,O O O O
130,who is in movie,O O O O
131,who is in movie,O O O O
132,who acts in forager,O O O B_movie
133,who stars in forager,O O O B_movie
134,who is the cast and crew for now forager,O O O O O O O O B_movie
135,who was in now,O O O B_movie
136,actor from modern family,O O B_movie I_movie
137,list the actors in forager,O O O O B_movie
138,cast and crew of go,O O O O B_movie
139,who starred in go,O O O B_movie
140,who was the lead actress in the hunger games,O O O O O O B_movie I_movie I_movie
141,show cast of movie request,O O O O B_movie
142,what is the cast in resident evil retribution,O O O O O B_movie I_movie I_movie
143,list me the actors for top gun,O O O O O B_movie I_movie
144,who was the tin man in wizard of oz,O O O B_char I_char O B_movie I_movie I_movie
145,actress in hum tum,O O B_movie I_movie
146,who was the actor in movie hum tum,O O O O O O B_movie I_movie
147,who is in barfi,O O O B_movie
148,who was the lead woman in the savages,O O O O O O B_movie I_movie
149,find the name of the actor who played jack in the movie titanic,O O O O O O O O B_char O O O B_movie
150,the name of the male lead in the movie titanic,O O O O O O O O O B_movie
151,what is the name of the lead actor in the titanic,O O O O O O O O O O B_movie
152,show me who played what role in go,O O O O O O O B_movie
153,i cannot remember the name of the actor in pretty women,O O O O O O O O O B_movie I_movie
154,what is the name of the actor who was in the parent trap,O O O O O O O O O O B_movie I_movie I_movie
155,find name of main actor in the movie the help,O O O O O O O O B_movie I_movie
156,looking for names of crew members of apollo thirteen,O O O O O O O B_movie I_movie
157,i can't figure out the name of the lead guy in the avengers,O O O O O O O O O O O O B_movie I_movie
158,what were the names of the ladies in facts of life,O O O O O O O O B_movie I_movie I_movie
159,how old is steven spielberg,O O O B_person I_person
160,when steven spielberg born,O B_person I_person O
161,what is tom cruise's birthday,O O B_person I_person O O
162,when was tom cruise born,O O B_person I_person O
163,when is will ferrell's birthday,O O B_person I_person O O
164,how old is kristen stewart,O O O B_person I_person
165,how much did it cost to produce the dark night,O O O O O O O B_movie I_movie I_movie
166,how much did the dark night cost to produce,O O O B_movie I_movie I_movie O O O
167,what was the dark night budget,O O B_movie I_movie I_movie O
168,the godfather's budget,B_movie I_movie O O
169,budget for the blind side,O O B_movie I_movie I_movie
170,i want to look up the budget of freedom writers,O O O O O O O O B_movie I_movie
171,i would like to look up the budget of freedom writers,O O O O O O O O O B_movie I_movie
172,look for the budget of freedom writers,O O O O O B_movie I_movie
173,how much was hunger games made for,O O O B_movie I_movie O O
174,how much was the budget for the hunger games,O O O O O O B_movie I_movie I_movie
175,how much did black swan cost,O O O B_movie I_movie O
176,how much did hollywood pay for black swan,O O O O O O B_movie I_movie
177,what was the budget for black swan,O O O O O B_movie I_movie
178,what were production costs for black swan,O O O O O B_movie I_movie
179,what was the budget for wrong turn,O O O O O B_movie I_movie
180,search for the budget of step up,O O O O O B_movie I_movie
181,budget for titanic,O O B_movie
182,budget for titanic,O O B_movie
183,budget for titanic movie,O O B_movie O
184,how much did titanic cost to make,O O O B_movie O O O
185,how much was the total budget for the titanic,O O O O O O O O B_movie
186,what was titanic's budget,O O B_movie O O
187,what was the budget for courageous,O O O O O B_movie
188,what was the budget for facing the giants,O O O O O B_movie I_movie I_movie
189,budget of heroine,O O B_movie
190,finding the buget of heroine,O O O O B_movie
191,looking of movie heroine's budget,O O O B_movie O O
192,what is the buget of movie heroine,O O O O O O B_movie
193,how much did it cost to make jurassic park,O O O O O O O B_movie I_movie
194,what was the budget for jurassic park,O O O O O B_movie I_movie
195,how much did james cameron have to spend to make avatar,O O O B_director I_director O O O O O B_movie
196,avatar must have cost a bundle,B_movie O O O O O
197,did the avatar movie have a budget for spending,O O B_movie O O O O O O
198,get me info on the budget for avatar,O O O O O O O B_movie
199,how much did it cost to make avatar,O O O O O O O B_movie
200,how much did the studio spend to make avatar,O O O O O O O O B_movie
201,how much money was budgeted for the avatar movie,O O O O O O O B_movie O
202,i need to know the budget of the movie avatar,O O O O O O O O O B_movie
203,i want to know the avatar's budget,O O O O O O B_movie O
204,list the budget for avatar,O O O O B_movie
205,show me what was the budget of the movie avatar,O O O O O O O O O B_movie
206,what did the movie avatar cost to make,O O O O B_movie O O O
207,what was avatar's budget,O O O B_movie O
208,what was the budget for avatar,O O O O O B_movie
209,what was the budget for avatar,O O O O O B_movie
210,what was the budget for avatar,O O O O O B_movie
211,what was the budget for the movie avatar,O O O O O O O B_movie
212,what was the budget of the movie avatar,O O O O O O O B_movie
213,how much did the movie avatar cost,O O O O O B_movie O
214,how much money was spent on batman,O O O O O O B_movie
215,tell me the budget for the movie batman,O O O O O O O B_movie
216,how much did batman begins cost,O O O B_movie I_movie O
217,how much was it to make the film batman begins,O O O O O O O O B_movie I_movie
218,budget for the avengers,O O B_movie I_movie
219,how much did it take to make the avengers,O O O O O O O B_movie I_movie
220,what was the budget for the avengers,O O O O O B_movie I_movie
221,what was the budget for citizen kane,O O O O O B_movie I_movie
222,find out the budget of cujo,O O O O O B_movie
223,budget for gone with the wind,O O B_movie I_movie I_movie I_movie
224,gone with the wind's budget information please,B_movie I_movie I_movie I_movie O O O O
225,gone with the wind's budget,B_movie I_movie I_movie I_movie O O
226,show me the budget for the movie,O O O O O O O
227,budget for the hulk,O O O B_movie
228,budget request for my big fat greek wedding,O O O B_movie I_movie I_movie I_movie I_movie
229,find the budget of my big fat greek wedding,O O O O B_movie I_movie I_movie I_movie I_movie
230,how much did my big fat greek wedding cost,O O O B_movie I_movie I_movie I_movie I_movie O
231,what was the budget of my big fat greek wedding,O O O O O B_movie I_movie I_movie I_movie I_movie
232,what was the budget for old school,O O O O O B_movie I_movie
233,what was the bourne identity's budget,O O B_movie I_movie I_movie O O
234,how much did it cost to produce the deer hunter,O O O O O O O B_movie I_movie I_movie
235,provide the cost for producing the deer hunter,O O O O O B_movie I_movie I_movie
236,will you show the cost to produce the deer hunter,O O O O O O O B_movie I_movie I_movie
237,what was the budget for the hobbit,O O O O O B_movie I_movie
238,can i see what the lion king's budget was,O O O O B_movie I_movie I_movie O O O
239,show me the lion king's budget,O O B_movie I_movie I_movie O O
240,what was the budget for passion of the christ,O O O O O B_movie I_movie I_movie I_movie
241,what was the budget for top gun,O O O O O B_movie I_movie
242,what was top gun's budget,O O B_movie I_movie O O
243,who does ellen degeneres play in finding nemo,O O O O O O B_movie I_movie
244,what character did tom hanks play in apollo thirteen,O O O O O O O B_movie I_movie
245,lion king characters,B_movie I_movie O
246,what character did will smith play in hitch,O O O O O O O B_movie
247,what role did sarah polley play in go,O O O O O O O B_movie
248,what was kevin james role in hitch,O O O O O O B_movie
249,who directed the music in gone with the wind,O O O O O B_movie I_movie I_movie I_movie
250,show me the music composer for the movie,O O O O O O O O
251,who directed the musical score in barfi,O O O O O O B_movie
252,how many films did ed harris do with tom hanks,O O O O B_person I_person O O B_person I_person
253,how many movies were released on nine twenty eight twelve,O O O O O O B_release_year I_release_year I_release_year I_release_year
254,how many movies were filmed in asia,O O O O O O B_location
255,how many films directed by barbra streisand have been shot in the czech republic,O O O O O B_director I_director O O O O O B_country I_country
256,how many movies has albert ruddy produced,O O O O B_producer I_producer O
257,how many movies has lionsgate done,O O O O B_producer O
258,how many movies did richard lester direct,O O O O B_director I_director O
259,how many films has taye diggs been in,O O O O B_cast I_cast O O
260,how many movies has ray stark produced,O O O O B_producer I_producer O
261,how many producers did the movie the hitch have,O O O O O O O B_movie O
262,how many movies has charles vidor directed,O O O O B_director I_director O
263,how many movies has kristen stewart made,O O O O B_person I_person O
264,i wonder how many movies alfred hitchcock was in that he directed,O O O O O B_director I_director O O O O O
265,how many movies has steven spielberg directed,O O O O B_director I_director O
266,how many films did robert wise direct,O O O O B_director I_director O
267,how many movies has tom cruise starred in,O O O O B_cast I_cast O O
268,how many movies did scorsese direct,O O O O B_director O
269,how many movies has angelina jolie been in,O O O O B_cast I_cast O O
270,how many movies did victor fleming direct,O O O O B_director I_director O
271,how many movies has woody allen directed,O O O O B_director I_director O
272,how many movies has darla anderson produced,O O O O B_producer I_producer O
273,how many films did alfred hitchcock direct,O O O O B_director I_director O
274,how many movies did hitchcock direct,O O O O B_director O
275,how many movies has tom hanks starred in,O O O O B_cast I_cast O O
276,how many woody allen movies starred diane keaton,O O B_director I_director O O B_cast I_cast
277,how many films has ed harris starred in,O O O O B_cast I_cast O O
278,how many movies are made in the united states,O O O O O O O B_country I_country
279,where was footnote made,O O B_movie O
280,what country did the flowers of war come from,O O O B_movie I_movie I_movie I_movie O O
281,country of le havre,O O B_movie I_movie
282,what country does the movie kati patang comes from,O O O O O B_movie I_movie O O
283,show me the name of the country for the movie thoda pyaar thoda magic,O O O O O O O O O O B_movie I_movie I_movie I_movie
284,can you tell me which country the movie kati patang comes from,O O O O O O O O B_movie I_movie O O
285,i need to know the name of the country to which the movie kati patang belongs to,O O O O O O O O O O O O O B_movie I_movie O O
286,show me the name of the country from which the movie kati patang comes,O O O O O O O O O O O B_movie I_movie O
287,can you tell me which country does thoda pyaar thoda magic belongs to,O O O O O O O B_movie I_movie I_movie I_movie O O
288,give me the name of the country for the movie thoda pyaar thoda magic,O O O O O O O O O O B_movie I_movie I_movie I_movie
289,i need to know which country does the movie thoda pyaar thoda magic belongs to,O O O O O O O O O B_movie I_movie I_movie I_movie O O
290,country that made a separation,O O O B_movie I_movie
291,what country is godzilla,O O O B_movie
292,country of weekend,O O B_movie
293,i would like to search for what country cell 21 is from,O O O O O O O O B_movie I_movie O O
294,look for what country cell 21 is from,O O O O B_movie I_movie O O
295,what country is cell 21 from,O O O B_movie I_movie O
296,what country did black beauty come from,O O O B_movie I_movie O O
297,i need to know where trainspotting comes from,O O O O O B_movie O O
298,tell me where is trainspotting from,O O O O B_movie O
299,which country made elizabeth,O O O B_movie
300,where was trainspotting made,O O B_movie O
301,what country did shindler's list come from,O O O B_movie I_movie I_movie O O
302,which country is this movie from,O O O O O O
303,show me where black swan is from,O O O B_movie I_movie O O
304,where was black swan produced,O O B_movie I_movie O
305,what is the origin of casa blanca,O O O O O B_movie I_movie
306,origin of gone with the wind,O O B_movie I_movie I_movie I_movie
307,lion king filmed at,B_movie I_movie O O
308,where was rocky four filmed,O O B_movie I_movie O
309,origin of spanglish,O O B_movie
310,movie made where,O O O
311,what country is movie from,O O O O O
312,in what country was movie made,O O O O O O
313,where was movie made,O O O O
314,is this a foreign film,O O O O O
315,is this a foreign film,O O O O O
316,what country was kinky boots made in,O O O B_movie I_movie O O
317,what country is outside the law from,O O O B_movie I_movie I_movie O
318,what country produced the movie mirror,O O O O O B_movie
319,what country does mirror come from,O O O B_movie O O
320,what country does les miserable come from,O O O B_movie I_movie O O
321,what is the origin country of mirror,O O O O O O B_movie
322,in what country was the movie mirror produced,O O O O O O B_movie O
323,where was the movie mirror produced,O O O O B_movie O
324,when can i see top gun,O O O O B_movie I_movie
325,when was top gun released,O O B_movie I_movie O
326,when does top gun come out,O O B_movie I_movie O O
327,when the movie top gun was released,O O O B_movie I_movie O O
328,when did richard lester start directing,O O B_director I_director O O
329,when was in july released,O O B_movie I_movie O
330,give me the release date for the little mermaid,O O B_movie O O O B_movie I_movie I_movie
331,what date was spider released,O O O B_movie O
332,can you tell me when 24 will be released,O O O O O B_movie O O O
333,do you know when 24 will be released,O O O O B_movie O O O
334,i want to know when 24 will be released,O O O O O B_movie O O O
335,when will 24 be released,O O B_movie O O
336,how will i know when the movie gone with the wind will be released,O O O O O O O B_movie I_movie I_movie I_movie O O O
337,please tell me when was the movie gone with the wind released,O O O O O O O B_movie I_movie I_movie I_movie O
338,please tell me when will the movie gone with the wind will be released,O O O O O O O B_movie I_movie I_movie I_movie O O O
339,when will the movie gone with the wind be released,O O O O B_movie I_movie I_movie I_movie O O
340,do you know when this movie is available,O O O O O O O O
341,what year was the movie released,O O O O O O
342,which decade did the movie come out,O O O O O O O
343,which month was the movie released,O O O O O O
344,release day for the movie,O O O O O
345,may i have the date of release for this movie,O O O O O O O O O O
346,release date for the vow,O O O B_movie I_movie
347,when was black beauty released,O O B_movie I_movie O
348,titanic release date,B_movie O O
349,when did lionsgate start making movies,O O B_producer O O O
350,search when the birds will be released,O O B_movie I_movie O O O
351,what year did spielberg start directing movies,O O O B_director O O O
352,the godfather came out when,B_movie I_movie O O O
353,when can i see the great gatsby,O O O O B_movie I_movie I_movie
354,when will the great gatsby be out,O O B_movie I_movie I_movie O O
355,when will the great gatsby be released,O O B_movie I_movie I_movie O O
356,when will jaws be released,O O B_movie O O
357,when will the hobbit be released,O O B_movie I_movie O O
358,what year was the hobbit relased,O O O B_movie I_movie O
359,what year did the movie grease open,O O O O O B_movie O
360,movie little women release date is when,O B_movie I_movie O O O O
361,release date for little women,O O O B_movie I_movie
362,when was the movie title little women released,O O O O O B_movie I_movie O
363,can you please tell me when was karate kid released,O O O O O O O B_movie I_movie O
364,karate kid release date,B_movie I_movie O O
365,find release date for karate kid,O O O O B_movie I_movie
366,when did dirty dancing come out,O O B_movie I_movie O O
367,when was dirty dancing released,O O B_movie I_movie O
368,what year was dirty dancing released,O O O B_movie I_movie O
369,when was dirty dancing released,O O B_movie I_movie O
370,when was overboard released,O O B_movie O
371,what year did moon over parador come out,O O O B_movie I_movie I_movie O O
372,release date for batman,O O O B_movie
373,when did jurassic park get released,O O B_movie I_movie O O
374,lion king release yr,B_movie I_movie O O
375,when was while you were sleeping released,O O B_movie I_movie I_movie I_movie O
376,what year was ed harris in in apollo thirteen,O O O O O O O B_movie I_movie
377,what was the date when welcome to the dollhouse was released,O O O O O B_movie I_movie I_movie I_movie O O
378,release date for toy story,O O O B_movie I_movie
379,what was the relase date for men in black,O O O O O O B_movie I_movie I_movie
380,when was life is beautiful released,O O B_movie I_movie I_movie O
381,when was life is beautiful released,O O B_movie I_movie I_movie O
382,when life is beautiful was released,O B_movie I_movie I_movie O O
383,what is possessed realese date,O O B_movie O O
384,look up the release date of resident evil,O O O O O O B_movie I_movie
385,what is resident evil's release date,O O B_movie I_movie O O O
386,when did resident evil come out,O O B_movie I_movie O O
387,when did resident evil debut in theaters,O O B_movie I_movie O O O
388,when did theaters show resident evil,O O O O B_movie I_movie
389,when was the release date for the movie resident evil,O O O O O O O O B_movie I_movie
390,when was resident evil first in theatres,O O B_movie I_movie O O O
391,when was the scooby do movie released,O O O B_movie I_movie O O
392,when was finding nemo released,O O B_movie I_movie O
393,release date for finding nemo,O O O B_movie I_movie
394,when was finding nemo released,O O B_movie I_movie O
395,when was finding nemo released,O O B_movie I_movie O
396,in which date varsham movie released,O O O B_movie O O
397,in which month varsham movie released,O O O B_movie O O
398,release twilight,O B_movie
399,frankenstein release,B_movie O
400,frankenstein release date,B_movie O O
401,when will the movie frankenstein be released,O O O O B_movie O O
402,when was hum tum relesed,O O B_movie I_movie O
403,i want to know when step up was released,O O O O O B_movie I_movie O O
404,i would like to know when the movie step up was released,O O O O O O O O B_movie I_movie O O
405,when was step up released,O O B_movie I_movie O
406,when was the movie step up released,O O O O B_movie I_movie O
407,when did happiness get released,O O B_movie O O
408,when will paranormal activity be released,O O B_movie I_movie O O
409,avatar realease date,B_movie O O
410,avatar release,B_movie O
411,what was the release date for avatar,O O O O O O B_movie
412,when did the movie avatar get released,O O O O B_movie O O
413,when avatar released,O B_movie O
414,when was avatar released,O O B_movie O
415,i need to know when was the movie avatar released,O O O O O O O O B_movie O
416,what day avatar released,O O B_movie O
417,what was the release date of the movie avatar,O O O O O O O O B_movie
418,when was avatar released,O O B_movie O
419,what date was avatar released,O O O B_movie O
420,when was black swan in the theatre,O O B_movie I_movie O O O
421,when was black swan released,O O B_movie I_movie O
422,how long has black swan been out,O O O B_movie I_movie O O
423,find release date of the help,O O O O B_movie I_movie
424,when can the help be released,O O B_movie I_movie O O
425,tell me when compliance came out,O O O B_movie O O
426,when is sinister hitting theaters,O O B_movie O O
427,release date for the hunger games,O O O B_movie I_movie I_movie
428,when was the first hunger games shown,O O B_movie O I_movie I_movie O
429,when was avengers released,O O B_movie O
430,when was lawless released,O O B_movie O
431,release date of snow white and the huntsman,O O O B_movie I_movie I_movie I_movie I_movie
432,release date for amazing spiderman,O O O B_movie I_movie
433,when will the next amazing spiderman come out,O O O O B_movie I_movie O O
434,when was the amazing spiderman released in the movie theatres,O O B_movie I_movie I_movie O O B_movie O O
435,search for the release date of vulgaria,O O O O O O B_movie
436,when did vulgaria come out,O O B_movie O O
437,when was the movie vulgaria released,O O O O B_movie O
438,what date did vulgaria open,O O O B_movie O
439,when did dredd come out,O O B_movie O O
440,what year was the godfather released,O O O O B_movie O
441,release date for the watch,O O O B_movie I_movie
442,when was paranorman be released,O O B_movie O O
443,what year was the campaign released,O O O B_movie I_movie O
444,when was the campaign released,O O B_movie I_movie O
445,when was expendables 2 released,O O B_movie I_movie O
446,when is the release date of resident evil: retribution,O O O O O O B_movie I_movie I_movie
447,what is the calendar date release for looper,O O O O O O O B_movie
448,i would like to know the release date of the movie barfi,O O O O O O O O O O O B_movie
449,i need to know the release date of the movie barfi,O O O O O O O O O O B_movie
450,what is the release date of the movie barfi,O O O O O O O O B_movie
451,show me the release date of the movie barfi,O O O O O O O O B_movie
452,find the release date for heroine,O O O O O B_movie
453,please find the release date of heroine,O O O O O O B_movie
454,what is the release date of heroine,O O O O O O B_movie
455,when was herione released,O O B_movie O
456,when was the movie heroine released,O O O O B_movie O
457,when was house at the end of the street released,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O
458,when house at the end of the street showing,O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O
459,what is the release date for house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
460,is iron man 3 in theatres yet,O B_movie I_movie I_movie O O O
461,when is iron man 3 coming out,O O B_movie I_movie I_movie O O
462,when will iron man 3 be out in movie theatres,O O B_movie I_movie I_movie O O O O O
463,show me movies listed by directors,O O O O O O
464,director for gone with the wind,O O B_movie I_movie I_movie I_movie
465,show me the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie
466,who are the directors of gone with the wind,O O O O O B_movie I_movie I_movie I_movie
467,who directed gone with the wind,O O B_movie I_movie I_movie I_movie
468,who directed gone with the wind,O O B_movie I_movie I_movie I_movie
469,who directed gone with the wind,O O B_movie I_movie I_movie I_movie
470,who directed the movie,O O I_movie O
471,show me details about the directors of gone with the wind,O O O O O O O B_movie I_movie I_movie I_movie
472,who directed black swan,O O B_movie I_movie
473,who's the director of pi,O O O O O B_movie
474,who made batman the dark knight,O O O B_movie I_movie I_movie
475,tell me about inception's director,O O O B_movie O O
476,show me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie
477,tell me the director of the film the dark knight,O O O O O O O B_movie I_movie I_movie
478,who directed the movie the dark knight,O O O O B_movie I_movie I_movie
479,who filmed the dark knight,O O B_movie I_movie I_movie
480,who is the person that directed the film the dark knight,O O O O O O O O B_movie I_movie I_movie
481,which director directed a hard day's night,O O O B_movie I_movie I_movie I_movie I_movie
482,who directed a hard day's night,O O B_movie I_movie I_movie I_movie I_movie
483,who directed a hard day's night,O O B_movie I_movie I_movie I_movie I_movie
484,who directed hard days night,O O B_movie I_movie I_movie
485,who directed cast away,O O B_movie I_movie
486,show me the director of forest gump,O O O O O B_movie I_movie
487,who was the director of forest gump,O O O O O B_movie I_movie
488,who is director of sleepless in seattle,O O O O B_movie I_movie I_movie
489,who directed the movie opening night,O O O O B_movie I_movie
490,who directed the movie men in black 3,O O O O B_movie I_movie I_movie I_movie
491,who was the director in men in black 3,O O O O O B_movie I_movie I_movie I_movie
492,can you tell me the director of the titanic,O O O O O O O O B_movie
493,director for titanic,O O B_movie
494,who was the director of the movie titanic,O O O O O O O B_movie
495,display director of the movie avengers,O O O O O B_movie
496,director of the avengers,O O B_movie I_movie
497,search director of the exorcist,O O O B_movie I_movie
498,find the director for the social network,O O O O B_movie I_movie I_movie
499,find the director of big,O O O O B_movie
500,who is the director of ghost busters,O O O O O B_movie I_movie
501,find the director for pretty woman,O O O O B_movie I_movie
502,who made godzilla,O O B_movie
503,rocky director,B_movie O
504,who directed hope floats,O O B_movie I_movie
505,avatar was directed by whom,B_movie O O O O
506,director of avatar,O O B_movie
507,which director directed avatar,O O O B_movie
508,who did avatar,O O B_movie
509,who directed avatar,O O B_movie
510,who directed avatar,O O B_movie
511,who directed avatar,O O B_movie
512,who directed the film avatar,O O O O B_movie
513,who directed the movie called avatar,O O O O O B_movie
514,who made the movie avatar,O O O O B_movie
